media_id,posted_at,permalink,media_type,format,reach,views,saved,likes,comments,shares,total_interactions,profile_visits,follows,save_rate,eng_rate,queue_id,source_type,viral_type,theme,slides,caption_head
18023589731896856,2026-08-07T20:44:56+09:00,https://www.instagram.com/p/DbvNh5eDvmQ/,CAROUSEL_ALBUM,カルーセル,0,0,0,0,0,0,0,0,0,0,0,ig_viral_011,viral,howto,Pococha「オフの日」の正しい使い方,8,✨ オフの日、ただ休んでるだけじゃもったいない！戦略的に使ってライバルに差をつけよう。
18107800898283663,2026-08-05T21:51:32+09:00,https://www.instagram.com/p/DbqLj0FmKPc/,CAROUSEL_ALBUM,カルーセル,0,0,0,0,0,0,0,0,0,0,0,ig_viral_010,viral,honne,ギフトが飛ぶ瞬間には共通点がある,8,なんであの人の枠にはギフトが飛ぶんだろう？ その秘密、実は「心」の話なんだ。
18362214733210851,2026-08-03T22:41:12+09:00,https://www.instagram.com/p/DblHpktEec-/,CAROUSEL_ALBUM,カルーセル,0,0,0,0,0,0,0,0,0,0,0,ig_viral_009,viral,howto,配信機材、最初はスマホだけでいい話,8,配信始めるのに機材は不要！その理由と、あとから足す優先順位を解説します。
18322596400263936,2026-07-31T21:55:17+09:00,https://www.instagram.com/p/DbdUBBvnEqy/,CAROUSEL_ALBUM,カルーセル,0,0,0,0,0,0,0,0,0,0,0,ig_viral_008,viral,story,事務所選びで手取りが変わるという話,8,「え、事務所選びってそんなに大事なの？」そう思ったあなたへ🤔
18070687313418788,2026-07-29T22:00:38+09:00,https://www.instagram.com/p/DbYLCF2HTXn/,CAROUSEL_ALBUM,カルーセル,0,0,0,0,0,0,0,0,0,0,0,ig_viral_007,viral,mental,配信で病まないための考え方,8,ライブ配信、心から楽しめてる？ 病む前に知ってほしい3つの思考法。
18035116667828423,2026-07-27T22:39:33+09:00,https://www.instagram.com/p/DbTF5V1Frmb/,CAROUSEL_ALBUM,カルーセル,0,0,0,0,0,0,0,0,0,0,0,ig_viral_006,viral,ng,怪しいライバー勧誘の見分け方,8,DMスカウト、安易に信じちゃダメ。損する前にチェックしてほしい話があるよ！
17990545517828517,2026-07-24T21:18:44+09:00,https://www.instagram.com/p/DbLORL7nFCr/,CAROUSEL_ALBUM,カルーセル,0,0,0,0,0,0,0,0,0,0,0,ig_viral_005,viral,ng,配信で絶対やってはいけないNG行動5つ,7,知らず知らずのうちにやっちゃってない？
17930698557122786,2026-07-22T21:25:24+09:00,https://www.instagram.com/p/DbGFb-cllVp/,CAROUSEL_ALBUM,カルーセル,0,0,0,0,0,0,0,0,0,0,0,ig_viral_004,viral,mental,配信の「間」が怖くなくなる考え方,8,配信中の沈黙で焦るの、もうやめない？『間』は最強の武器になるよ。✨
18106874459022182,2026-07-20T22:05:32+09:00,https://www.instagram.com/p/DbBAcODjN0y/,CAROUSEL_ALBUM,カルーセル,0,0,0,0,0,0,0,0,0,0,0,ig_viral_003,viral,ng,ランク上げで失敗する人の典型パターン,7,「なんか最近、配信が楽しくない…」それは、もしかしたら危険信号かも。
18158911678480185,2026-07-18T00:40:29+09:00,https://www.instagram.com/p/Da5jk53sYKH/,IMAGE,単画像,0,0,0,0,0,0,0,0,0,0,0,,,,,1,4月に初配信。
18020476049894879,2026-07-17T21:09:47+09:00,https://www.instagram.com/p/Da5LrTejFOD/,CAROUSEL_ALBUM,カルーセル,0,0,0,0,0,0,0,0,0,0,0,ig_viral_002,viral,story,会社員から専業になったSさんの話,8,「会社員から専業ライバーへ。」多くの人が憧れるサクセスストーリーだけど、実は裏側には現実的なステップがあったんだ。
17939243766273555,2026-07-15T21:15:15+09:00,https://www.instagram.com/p/Da0Ct3skpet/,CAROUSEL_ALBUM,カルーセル,0,0,0,0,0,0,0,0,0,0,0,ig_viral_001,viral,howto,顔出しなしでも配信できるという話,9,顔出しなしでも、あなたの魅力は伝わる。ライブ配信の新しい扉を開こう！
18094406984611944,2026-07-13T22:23:20+09:00,https://www.instagram.com/p/DavA6YLlsbj/,CAROUSEL_ALBUM,カルーセル,0,0,0,0,0,0,0,0,0,0,0,ig_viral_000,viral,honne,副業ライバーの現実を正直に話す,9,「ライブ配信、すぐ稼げる」って発信、ちょっと待って。その甘い言葉の裏側を話します。
18125147626580309,2026-06-30T00:10:19+09:00,https://www.instagram.com/p/DaLJn3Ms9uh/,IMAGE,単画像,0,0,0,0,0,0,0,0,0,0,0,,,,,1,むう🍓💚くん、オリ曲イベント2位入賞おめでとうございます！🎉
18128646229613933,2026-06-08T23:48:26+09:00,https://www.instagram.com/p/DZVC1C0kujt/,IMAGE,単画像,0,0,0,0,0,0,0,0,0,0,0,,,,,1,Pococha、2ヶ月でB2ランク。これ、事務所の裏技があった話です。
18083176823449016,2026-06-05T22:56:19+09:00,https://www.instagram.com/p/DZNOekxFS_-/,IMAGE,単画像,0,0,0,0,0,0,0,0,0,0,0,,,,,1,老後にもらえる年金、会社員の半分以下。これ、ライバーの現実です。
18063632984650767,2026-06-04T21:35:04+09:00,https://www.instagram.com/p/DZKgXlwM6lb/,IMAGE,単画像,0,0,0,0,0,0,0,0,0,0,0,,,,,1,㊗️新人戦9位入賞 ＆ 男性ライバー1位獲得🏆
18326066863252128,2026-06-04T00:27:42+09:00,https://www.instagram.com/p/DZIPWRAlvqA/,IMAGE,単画像,0,0,0,0,0,0,0,0,0,0,0,,,,,1,年間最大84万円も控除。これ、ライバーが使える節税の話です。
18205049617349403,2026-06-02T01:37:01+09:00,https://www.instagram.com/p/DZDNsPkFhIk/,IMAGE,単画像,0,0,0,0,0,0,0,0,0,0,0,,,,,1,これ知らないと、手元に残るお金が年間何十万円も減る。マジです。
17991832316978459,2026-05-29T22:59:47+09:00,https://www.instagram.com/p/DY7NT0YGWX4/,IMAGE,単画像,0,0,0,0,0,0,0,0,0,0,0,ig_auto_060,twitter,,ライバーが最初にやるべきこと,1,ライブ配信、始めるならまず何から？実はやるべきことはたった3つ。
18122622478643362,2026-05-27T23:27:23+09:00,https://www.instagram.com/p/DY2G4jIGeUa/,IMAGE,単画像,0,0,0,0,0,0,0,0,0,0,0,ig_auto_059,twitter,,「配信で何話せばいいかわからない」,1,ライブ配信、話すネタに困ってない？実は超簡単です。
18324566257269103,2026-05-25T22:59:44+09:00,https://www.instagram.com/p/DYw6H7poOKc/,IMAGE,単画像,0,0,0,0,0,0,0,0,0,0,0,ig_auto_058,twitter,,配信で一番大事なことって何だと思う？,1,これ知らないで始めて、最初の3ヶ月を無駄にする人が多すぎる。ライバー収益を最大化する秘訣はこれだ。
18096116003269539,2026-05-22T22:34:10+09:00,https://www.instagram.com/p/DYpI0MgFtyS/,IMAGE,単画像,0,0,0,0,0,0,0,0,0,0,0,ig_auto_057,twitter,,ライバーの裏側ぶっちゃけます,1,時給100円以下。これがライバーのリアルなスタートです。
